Date_Time,Date,Time,Temp,SpCond,Sal,Raw Depth,Depth Corrected BIN,pH,Turbid+,Chl_flor,Chl Corr,ODOsat,DO
6/1/2020 13:40,6/1/2020,1:40:29 PM,22.41,26.55,16.27,0.389,0.25,NaN,5.4,21.3,33.2306,90.6,7.15
6/3/2020 13:25,6/3/2020,1:25:25 PM,23.29,27014.61111,16.58,0.189,0.25,9.01,9.8,10.1,18.7714,NaN,NaN
6/5/2020 13:47,6/5/2020,1:47:23 PM,25.32,26.08,15.92,0.371,0.25,NaN,15.5,5.2,12.4455,93.4,7.01
6/8/2020 13:36,6/8/2020,1:36:54 PM,25.48,27.35375,16.77,0.439,0.25,NaN,7.8,9.2,17.6095,102.1,7.61
6/10/2020 14:32,6/10/2020,2:32:15 PM,26.77,27.098919,16.58,0.391,0.25,NaN,13.2,5.1,12.3164,95.5,6.96
6/12/2020 12:25,6/12/2020,12:25:53 PM,24.52,29193.025,18.03,-0.019,0.25,NaN,10.3,5.5,12.8328,81,6.1
6/15/2020 12:18,6/15/2020,12:18:29 PM,22.64,30393.125,18.88,0.298,0.25,NaN,5.9,7.1,14.8984,85.7,6.64
6/17/2020 12:16,6/17/2020,12:16:41 PM,21.25,29214.77778,18.09,0.255,0.25,NaN,10.2,4.2,11.1545,89.2,7.12
6/19/2020 12:23,6/19/2020,12:23:30 PM,23.76,28964.38333,17.89,0.077,0.25,NaN,11.4,14.6,24.5809,117.8,8.99
6/22/2020 13:14,6/22/2020,1:14:20 PM,26.26,27.782,17.05,0.359,0.25,NaN,6.5,7.2,15.0275,111.6,8.19
6/24/2020 14:09,6/24/2020,2:09:53 PM,27.45,27.396538,16.77,0.338,0.25,NaN,9.5,11.6,20.7079,113.7,8.18
6/26/2020 13:21,6/26/2020,1:21:41 PM,25.72,27.585385,16.93,0.482,0.25,NaN,7.3,4.9,12.0582,99,7.34
6/29/2020 13:36,6/29/2020,1:36:03 PM,27.54,27.769643,17.02,0.321,0.25,NaN,10.2,5.4,12.7037,92.9,6.67
7/1/2020 13:30,7/1/2020,1:30:45 PM,28.91,27760.81818,16.98,0.393,0.25,7.64,8.8,10.6,19.4169,91.7,6.43
7/3/2020 14:32,7/3/2020,2:32:55 PM,28.98,28144,17.24,0.448,0.25,7.69,9.5,12.4,21.7407,104.1,7.28
7/6/2020 13:32,7/6/2020,1:32:53 PM,30.16,29.01,17.8,0.5,0.25,7.97,7.8,10.6,19.4169,118.8,8.12
7/8/2020 13:49,7/8/2020,1:49:40 PM,29.13,29.6675,18.27,0.461,0.25,7.89,8,6.3,13.8656,102.3,7.1
7/10/2020 13:05,7/10/2020,1:05:58 PM,28.23,32.31375,20.09,0.428,0.25,7.92,6.6,11.8,20.9661,109.1,7.61
7/13/2020 13:48,7/13/2020,1:48:55 PM,29.47,31.347083,19.4,0.348,0.25,7.64,7.9,15.3,25.4846,115.7,7.93
7/15/2020 13:42,7/15/2020,1:42:51 PM,29.6,31.5,19.51,0.392,0.25,7.98,5.9,12.4,21.7407,118.6,8.11
7/17/2020 13:55,7/17/2020,1:55:36 PM,30.17,31.786667,19.69,0.399,0.25,7.94,8.4,11.1,20.0624,115.2,7.79
7/20/2020 13:32,7/20/2020,1:32:57 PM,30.2,32419.4,20.12,0.329,0.25,7.73,11,37.1,53.6284,120.6,8.13
7/22/2020 13:24,7/22/2020,1:24:00 PM,31.34,33.285273,20.68,0.347,0.25,8.42,13.1,170.4,225.7187,200.6,13.24
7/24/2020 13:23,7/24/2020,1:23:09 PM,29.06,34.045,21.26,0.425,0.25,8.11,9.1,35.1,51.0464,130.3,8.91
7/26/2020 13:44,7/26/2020,1:44:57 PM,29.7,35.386923,22.18,0.538,0.25,8.31,9.7,108.9,146.3222,174.3,11.72
7/28/2020 13:13,7/28/2020,1:13:27 PM,30.46,34.87,21.8,0.278,0.25,8.13,10.2,26.2,39.5565,131.2,8.74
7/30/2020 13:35,7/30/2020,1:35:14 PM,30.92,34.968846,21.86,0.38,0.25,8.21,11.4,117.1,156.9084,158.1,10.44
8/1/2020 13:45,8/1/2020,1:45:05 PM,30.58,35.17,22,0.36,0.25,8.09,13.5,61.6,85.2579,131.1,8.7
8/2/2020 14:48,8/2/2020,2:48:46 PM,30.56,35.558125,22.27,0.375,0.25,8.39,14.7,145.8,193.9601,199.1,13.2
8/4/2020 13:15,8/4/2020,1:15:15 PM,28.02,35.7,22.44,0.386,0.25,7.8,13,46.1,65.2474,105.6,7.3
8/6/2020 13:30,8/6/2020,1:30:12 PM,29.62,35.902,22.54,0.403,0.25,8.43,11.9,160.9,213.4542,217.5,14.61
8/8/2020 13:43,8/8/2020,1:43:39 PM,29.2,34.43193,21.53,0.443,0.25,8.33,9.8,84.6,114.9509,176.3,12
8/10/2020 13:24,8/10/2020,1:24:50 PM,29.44,34.021579,21.24,0.42,0.25,8.47,11.8,194,256.1863,226.9,15.4
8/12/2020 13:16,8/12/2020,1:16:19 PM,29.57,31.8925,19.77,0.403,0.25,8.79,10.9,127.2,169.9475,145.8,9.96
8/14/2020 13:31,8/14/2020,1:31:54 PM,29.42,31.825185,19.73,0.312,0.25,8.15,6.8,19.3,30.6486,106.9,7.32
8/16/2020 13:08,8/16/2020,1:08:48 PM,27.72,30.75,19.03,0.34,0.25,8.03,8.3,28.8,42.9131,109.4,7.74
8/18/2020 13:27,8/18/2020,1:27:43 PM,28.35,30.167619,18.62,0.395,0.25,8.28,15.9,108.9,146.3222,150.7,10.57
8/20/2020 13:27,8/20/2020,1:27:49 PM,27.31,30930.11111,19.16,0.439,0.25,7.76,9,8.9,17.2222,87.8,6.25
8/22/2020 13:35,8/22/2020,1:35:14 PM,28.09,30410.54167,18.79,0.377,0.25,7.87,8.8,18.3,29.3576,102.4,7.21
8/24/2020 13:36,8/24/2020,1:36:01 PM,27.08,28251.63636,17.35,0.528,0.25,7.85,8.3,21,32.8433,99.5,7.18
8/26/2020 13:37,8/26/2020,1:37:19 PM,27.78,28734.65,17.67,0.38,0.25,7.81,10.8,13.2,22.7735,98.2,6.99
8/28/2020 13:49,8/28/2020,1:49:07 PM,28.46,27.91,17.09,0.467,0.25,8.05,8.4,21.1,32.9724,117.3,8.28
8/31/2020 14:10,8/31/2020,2:10:07 PM,27.91,30.174643,18.64,0.389,0.25,8.02,15,34.7,50.53,120.4,8.51
9/2/2020 13:12,9/2/2020,1:12:17 PM,28.09,32.784167,20.42,0.35,0.25,7.59,11.7,28,41.8803,137.3,9.58
9/4/2020 13:28,9/4/2020,1:28:53 PM,29.23,33.21,20.69,0.457,0.25,8.42,15.3,15.1,25.2264,127.3,8.71
9/7/2020 13:24,9/7/2020,1:24:15 PM,27.12,32.445,20.21,0.371,0.25,8.41,7.3,12.5,21.8698,98.5,7
9/9/2020 13:24,9/9/2020,1:24:37 PM,26.85,32.656667,20.36,0.457,0.25,7.99,8.4,2.9,9.4762,86.5,6.17
9/11/2020 13:17,9/11/2020,1:17:36 PM,26.89,30.696667,19.01,0.556,0.25,8.46,7.1,34.6,50.4009,110.9,7.96
9/14/2020 13:15,9/14/2020,1:15:26 PM,26.29,31.93,19.87,0.471,0.25,7.64,9.3,13.8,23.5481,88.5,6.39
9/16/2020 13:01,9/16/2020,1:01:53 PM,24.2,31.036512,19.29,0.434,0.25,7.59,14.6,7.7,15.673,77.9,5.85
9/18/2020 13:08,9/18/2020,1:08:02 PM,23.73,28.696667,17.71,0.4,0.25,7.57,9.3,3.4,10.1217,82,6.27
9/21/2020 14:05,9/21/2020,2:05:37 PM,NaN,NaN,NaN,NaN,0.25,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,,,,,,,,
,,,,,,,,,,,,,
